Date,Description,Category,Amount
2026-01-18,Disney+,Subscriptions,20.9
2025-12-19,Tech Accessories,Misc,223.68
2026-01-19,Tech Accessories,Misc,108.51
2026-01-08,Movie Ticket,Entertainment,94.02
2025-11-02,Disney+,Subscriptions,12.1
2025-11-11,Netflix,Entertainment,107.28
2025-12-27,Netflix,Entertainment,33.5
2025-12-30,Disney+,Subscriptions,16.07
2025-11-27,Starbucks,Food,29.41
2026-01-12,Theater,Entertainment,56.32
2025-12-19,Whole Foods,Food,46.66
2026-01-04,Charging Station,Transport,47.32
2025-12-31,Starbucks,Food,50.68
2025-11-04,Tech Accessories,Misc,165.99
2025-12-08,Concert Ticket,Entertainment,36.07
2026-01-13,Grocery Store,Food,8.78
2025-10-25,iCloud Storage,Subscriptions,10.49
2026-01-03,iCloud Storage,Subscriptions,19.37
2025-12-22,Disney+,Subscriptions,21.89
2025-12-16,Train Ticket,Transport,20.63
2025-11-16,Cafe Latte,Food,52.21
2025-11-18,Gas Station,Transport,20.37
2026-01-09,Books,Misc,148.85
2026-01-04,Uber,Transport,81.84
2025-12-25,Books,Misc,170.48
2025-11-02,Tech Accessories,Misc,133.1
2025-12-18,Audible,Subscriptions,21.6
2025-11-02,Lyft,Transport,35.32
2026-01-14,Cafe Latte,Food,56.96
2025-11-09,Electronics,Misc,44.69
2025-12-15,Movie Ticket,Entertainment,21.82
2026-01-05,Movie Ticket,Entertainment,25.42
2025-12-09,iCloud Storage,Subscriptions,10.81
2025-11-06,Gas Station,Transport,107.67
2025-12-16,Whole Foods,Food,45.85
2026-01-11,Lyft,Transport,26.07
2025-12-14,Lunch Out,Food,45.67
2025-11-27,Disney+,Subscriptions,19.89
2025-12-23,Apple Arcade,Entertainment,66.98
2026-01-02,Gas Station,Transport,11.27
2025-11-30,Apple Music,Subscriptions,18.06
2025-11-03,Movie Ticket,Entertainment,109.73
2025-11-21,Whole Foods,Food,28.51
2026-01-12,Gas Station,Transport,71.71
2025-12-18,Starbucks,Food,23.28
2025-11-25,Apple Arcade,Entertainment,65.51
2025-10-21,Gas Station,Transport,94.82
2025-12-10,Books,Misc,165.94
2025-12-01,iCloud Storage,Subscriptions,21.36
2025-11-07,Whole Foods,Food,16.89
2025-11-06,Whole Foods,Food,23.69
2026-01-06,Starbucks,Food,42.61
2026-01-15,Movie Ticket,Entertainment,113.81
2025-12-03,Gym Membership,Misc,112.38
2025-11-07,Audible,Subscriptions,24.76
2025-10-27,iCloud Storage,Subscriptions,17.08
2025-12-29,Cafe Latte,Food,20.73
2026-01-01,Apple Arcade,Entertainment,112.28
2025-11-04,Lunch Out,Food,20.99
2025-12-02,Tech Accessories,Misc,234.09
2025-12-27,Disney+,Subscriptions,10.64
2025-11-18,Gas Station,Transport,81.56
2025-12-08,Gym Membership,Misc,195.2
2025-12-09,Netflix,Entertainment,54.21
2025-11-19,Lyft,Transport,15.9
2025-11-15,Gym Membership,Misc,26.13
2026-01-11,Gym Membership,Misc,194.76
2025-12-05,Lunch Out,Food,9.24
2025-12-14,Netflix,Entertainment,90.53
2025-12-22,Clothes,Misc,110.04
2026-01-14,Starbucks,Food,56.25
2026-01-07,Apple Music,Subscriptions,18.53
2025-11-07,Grocery Store,Food,10.77
2025-12-30,Dinner Out,Food,9.46
2025-11-13,iCloud Storage,Subscriptions,16.04
2025-10-28,Train Ticket,Transport,19.57
2025-11-20,Netflix,Entertainment,71.47
2025-12-30,Lyft,Transport,20.0
2025-11-08,Movie Ticket,Entertainment,41.66
2025-12-30,Charging Station,Transport,111.05
2025-10-29,Tech Accessories,Misc,54.14
2025-12-25,Tech Accessories,Misc,180.52
2026-01-17,Charging Station,Transport,79.43
2026-01-16,iCloud Storage,Subscriptions,17.44
2025-11-20,Apple Music,Subscriptions,10.48
2026-01-08,Clothes,Misc,91.86
2025-12-24,Netflix,Entertainment,95.33
2025-12-30,Dinner Out,Food,46.7
2025-12-28,Apple Music,Subscriptions,12.21
2025-12-03,Uber,Transport,20.43
2025-11-17,Dinner Out,Food,36.93
2025-12-18,Grocery Store,Food,15.76
2026-01-05,Lunch Out,Food,33.22
2025-11-08,Clothes,Misc,187.32
2025-11-30,Electronics,Misc,101.03
2026-01-17,Grocery Store,Food,32.13
2026-01-01,Grocery Store,Food,39.24
2025-11-01,Netflix,Entertainment,72.96
2026-01-04,Spotify,Subscriptions,17.05
2025-12-07,Lyft,Transport,80.05
2025-12-31,Charging Station,Transport,103.33
2025-11-21,Tech Accessories,Misc,46.27
